,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1,2019.11.28_09.21.45,-8.482986,51.899198999999996,LTE,-88,-14,-3.0,8,-70,8,3,D
2,2019.11.28_09.21.45,-8.483621000000001,51.899249,LTE,-88,-14,-3.0,8,-70,8,3,D
3,2019.11.28_09.21.46,-8.483621000000001,51.899249,LTE,-88,-14,-3.0,8,-70,1,2,D
4,2019.11.28_09.21.47,-8.483621000000001,51.899249,LTE,-89,-14,-1.0,5,-72,0,0,D
5,2019.11.28_09.21.48,-8.483621000000001,51.899249,LTE,-89,-14,-1.0,5,-72,9,12,D
6,2019.11.28_09.21.49,-8.483621000000001,51.899249,LTE,-87,-13,-3.0,4,-70,0,0,D
7,2019.11.28_09.21.50,-8.483621000000001,51.899249,LTE,-87,-13,-3.0,4,-70,0,0,I
8,2019.11.28_09.21.51,-8.483621000000001,51.899249,LTE,-87,-14,-4.0,4,-70,0,0,I
9,2019.11.28_09.21.52,-8.483621000000001,51.899249,LTE,-87,-14,-4.0,4,-70,4,12,D
10,2019.11.28_09.21.53,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,4,-70,167,37,D
11,2019.11.28_09.21.54,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,4,-70,116,44,D
12,2019.11.28_09.21.55,-8.483621000000001,51.899249,LTE,-87,-13,-2.0,4,-70,14,5,D
13,2019.11.28_09.21.56,-8.483621000000001,51.899249,LTE,-87,-13,-2.0,4,-70,563,238,D
14,2019.11.28_09.21.57,-8.483621000000001,51.899249,LTE,-87,-12,-2.0,4,-70,90,21,D
15,2019.11.28_09.21.59,-8.483621000000001,51.899249,LTE,-87,-12,-2.0,4,-70,50,30,D
16,2019.11.28_09.22.00,-8.483621000000001,51.899249,LTE,-88,-15,-5.0,4,-70,0,0,I
17,2019.11.28_09.22.01,-8.483621000000001,51.899249,LTE,-88,-15,-5.0,4,-70,0,0,I
18,2019.11.28_09.22.02,-8.483621000000001,51.899249,LTE,-89,-15,-5.0,5,-72,550,187,D
19,2019.11.28_09.22.03,-8.483621000000001,51.899249,LTE,-89,-15,-5.0,5,-72,243,24,D
20,2019.11.28_09.22.04,-8.483621000000001,51.899249,LTE,-88,-17,-4.0,5,-72,0,0,D
21,2019.11.28_09.22.05,-8.483621000000001,51.899249,LTE,-88,-17,-4.0,5,-72,0,0,I
22,2019.11.28_09.22.06,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-72,0,0,I
23,2019.11.28_09.22.07,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-72,35,11,D
24,2019.11.28_09.22.08,-8.483621000000001,51.899249,LTE,-88,-17,-3.0,5,-72,0,0,D
25,2019.11.28_09.22.10,-8.483621000000001,51.899249,LTE,-88,-17,-3.0,5,-72,0,0,I
26,2019.11.28_09.22.11,-8.483621000000001,51.899249,LTE,-88,-15,0.0,5,-72,0,0,I
27,2019.11.28_09.22.12,-8.483621000000001,51.899249,LTE,-88,-15,0.0,5,-72,0,0,I
28,2019.11.28_09.22.13,-8.483621000000001,51.899249,LTE,-88,-15,-2.0,5,-72,42,111,D
29,2019.11.28_09.22.14,-8.483621000000001,51.899249,LTE,-88,-15,-2.0,5,-72,14,3,D
30,2019.11.28_09.22.15,-8.483621000000001,51.899249,LTE,-89,-17,-1.0,5,-72,2,5,D
31,2019.11.28_09.22.16,-8.483621000000001,51.899249,LTE,-89,-17,-1.0,5,-72,0,2,D
32,2019.11.28_09.22.17,-8.483621000000001,51.899249,LTE,-88,-12,0.0,5,-72,2,4,D
33,2019.11.28_09.22.18,-8.483621000000001,51.899249,LTE,-88,-12,0.0,5,-72,0,0,I
34,2019.11.28_09.22.20,-8.483621000000001,51.899249,LTE,-88,-14,-3.0,5,-72,2,4,D
35,2019.11.28_09.22.21,-8.483621000000001,51.899249,LTE,-88,-14,-3.0,5,-72,0,0,I
36,2019.11.28_09.22.22,-8.483621000000001,51.899249,LTE,-89,-13,-1.0,5,-72,0,0,I
37,2019.11.28_09.22.23,-8.483621000000001,51.899249,LTE,-89,-13,-1.0,5,-72,1,1,D
38,2019.11.28_09.22.24,-8.483621000000001,51.899249,LTE,-88,-13,-1.0,5,-72,0,2,D
39,2019.11.28_09.22.25,-8.483621000000001,51.899249,LTE,-88,-13,-1.0,5,-72,108,77,D
40,2019.11.28_09.22.26,-8.483621000000001,51.899249,LTE,-89,-13,-1.0,5,-72,2929,159,D
41,2019.11.28_09.22.27,-8.483621000000001,51.899249,LTE,-89,-13,-1.0,5,-72,2784,98,D
42,2019.11.28_09.22.28,-8.483621000000001,51.899249,LTE,-88,-17,-4.0,5,-72,3233,73,D
43,2019.11.28_09.22.29,-8.483621000000001,51.899249,LTE,-88,-17,-4.0,5,-70,1176,21,D
44,2019.11.28_09.22.30,-8.483621000000001,51.899249,LTE,-87,-17,-5.0,5,-70,1607,35,D
45,2019.11.28_09.22.31,-8.483621000000001,51.899249,LTE,-87,-17,-5.0,5,-70,1075,37,D
46,2019.11.28_09.22.32,-8.483621000000001,51.899249,LTE,-87,-16,-5.0,5,-70,2463,99,D
47,2019.11.28_09.22.33,-8.483621000000001,51.899249,LTE,-87,-16,-5.0,5,-70,4426,150,D
48,2019.11.28_09.22.35,-8.483621000000001,51.899249,LTE,-88,-17,-5.0,5,-70,3382,110,D
49,2019.11.28_09.22.36,-8.483621000000001,51.899249,LTE,-88,-17,-5.0,5,-70,2712,169,D
50,2019.11.28_09.22.37,-8.483621000000001,51.899249,LTE,-87,-17,-5.0,5,-70,2972,76,D
51,2019.11.28_09.22.38,-8.483621000000001,51.899249,LTE,-87,-17,-5.0,5,-70,2232,58,D
52,2019.11.28_09.22.39,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-70,1159,37,D
53,2019.11.28_09.22.40,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-70,2668,135,D
54,2019.11.28_09.22.41,-8.483621000000001,51.899249,LTE,-87,-14,-3.0,5,-70,1936,51,D
55,2019.11.28_09.22.42,-8.483621000000001,51.899249,LTE,-87,-14,-3.0,5,-70,1018,20,D
56,2019.11.28_09.22.43,-8.483621000000001,51.899249,LTE,-87,-16,-4.0,5,-70,936,26,D
57,2019.11.28_09.22.44,-8.483621000000001,51.899249,LTE,-87,-16,-4.0,5,-70,1962,43,D
58,2019.11.28_09.22.45,-8.483621000000001,51.899249,LTE,-88,-17,-5.0,5,-70,1526,65,D
59,2019.11.28_09.22.46,-8.483621000000001,51.899249,LTE,-88,-17,-5.0,5,-70,2063,63,D
60,2019.11.28_09.22.47,-8.483621000000001,51.899249,LTE,-87,-16,-4.0,5,-70,3066,71,D
61,2019.11.28_09.22.48,-8.483621000000001,51.899249,LTE,-87,-16,-4.0,5,-70,3698,94,D
62,2019.11.28_09.22.50,-8.483621000000001,51.899249,LTE,-88,-16,-3.0,5,-70,3357,83,D
63,2019.11.28_09.22.51,-8.483621000000001,51.899249,LTE,-88,-16,-3.0,5,-70,2949,66,D
64,2019.11.28_09.22.52,-8.483621000000001,51.899249,LTE,-88,-15,-2.0,5,-70,3676,88,D
65,2019.11.28_09.22.53,-8.483621000000001,51.899249,LTE,-88,-15,-2.0,5,-70,3995,105,D
66,2019.11.28_09.22.54,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-70,4079,154,D
67,2019.11.28_09.22.55,-8.483621000000001,51.899249,LTE,-88,-16,-4.0,5,-70,2862,68,D
68,2019.11.28_09.22.56,-8.483621000000001,51.899249,LTE,-88,-17,-6.0,5,-70,4115,107,D
69,2019.11.28_09.22.57,-8.483621000000001,51.899249,LTE,-88,-17,-6.0,5,-70,4234,105,D
70,2019.11.28_09.22.58,-8.483621000000001,51.899249,LTE,-88,-15,-5.0,5,-70,4170,100,D
71,2019.11.28_09.22.59,-8.483621000000001,51.899249,LTE,-88,-15,-5.0,5,-70,4541,102,D
72,2019.11.28_09.23.00,-8.483621000000001,51.899249,LTE,-88,-16,-5.0,5,-70,2474,67,D
73,2019.11.28_09.23.01,-8.483621000000001,51.899249,LTE,-88,-16,-5.0,5,-70,3281,74,D
