,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
818,2019.11.26_14.05.30,-8.394878,51.886015,5G,-101,-12,0.0,15,-85,0,0,D
819,2019.11.26_14.05.31,-8.394878,51.886015,5G,-101,-11,8.0,15,-85,0,0,I
820,2019.11.26_14.05.32,-8.394878,51.886015,5G,-101,-11,8.0,11,-87,0,0,I
821,2019.11.26_14.05.33,-8.394878,51.886015,5G,-101,-11,-1.0,11,-83,0,0,I
822,2019.11.26_14.05.34,-8.394878,51.886015,5G,-101,-11,-1.0,11,-83,5887,119,D
823,2019.11.26_14.05.35,-8.394878,51.886015,5G,-102,-13,6.0,11,-83,1974,44,D
824,2019.11.26_14.05.37,-8.394878,51.886015,5G,-102,-13,6.0,11,-83,16693,190,D
825,2019.11.26_14.05.38,-8.394878,51.886015,5G,-100,-11,3.0,12,-,10138,93,D
826,2019.11.26_14.05.39,-8.394878,51.886015,5G,-100,-11,3.0,12,-,0,0,D
827,2019.11.26_14.05.40,-8.394878,51.886015,5G,-100,-10,6.0,12,-,0,0,I
828,2019.11.26_14.05.41,-8.394878,51.886015,5G,-100,-10,6.0,12,-,0,0,I
829,2019.11.26_14.05.42,-8.394878,51.886015,5G,-101,-13,-8.0,12,-,0,0,I
830,2019.11.26_14.05.43,-8.394878,51.886015,5G,-101,-13,-8.0,12,-,0,0,I
831,2019.11.26_14.05.44,-8.394878,51.886015,5G,-100,-11,2.0,12,-,0,0,I
832,2019.11.26_14.05.45,-8.394878,51.886015,5G,-100,-11,2.0,12,-,0,0,I
833,2019.11.26_14.05.46,-8.394878,51.886015,5G,-100,-10,7.0,12,-,0,0,I
834,2019.11.26_14.05.47,-8.394878,51.886015,5G,-100,-10,7.0,12,-,0,0,I
835,2019.11.26_14.05.48,-8.394878,51.886015,5G,-101,-13,5.0,12,-,0,0,I
836,2019.11.26_14.05.49,-8.394878,51.886015,5G,-101,-13,5.0,15,-83,0,0,I
837,2019.11.26_14.05.51,-8.394878,51.886015,5G,-101,-9,4.0,15,-83,0,0,I
838,2019.11.26_14.05.52,-8.394878,51.886015,5G,-101,-9,4.0,15,-85,0,0,I
839,2019.11.26_14.05.53,-8.394878,51.886015,5G,-101,-12,0.0,15,-85,0,0,I
840,2019.11.26_14.05.54,-8.394878,51.886015,5G,-101,-12,0.0,15,-85,0,0,I
841,2019.11.26_14.05.55,-8.394878,51.886015,5G,-101,-11,6.0,15,-85,2,4,D
842,2019.11.26_14.05.56,-8.394878,51.886015,5G,-101,-11,6.0,15,-85,0,0,D
843,2019.11.26_14.05.57,-8.394878,51.886015,5G,-101,-11,7.0,15,-85,2,4,D
844,2019.11.26_14.05.58,-8.394878,51.886015,5G,-101,-11,7.0,15,-85,0,0,D
845,2019.11.26_14.05.59,-8.394878,51.886015,5G,-101,-10,8.0,15,-85,2,4,D
846,2019.11.26_14.06.00,-8.394878,51.886015,5G,-101,-10,8.0,15,-85,0,0,I
