Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.03_09.25.13,-8.482086,51.900862,0,B,13,5G,-80,-10,4.0,10,-71,0,0,D,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.14,-8.482086,51.900862,0,B,13,5G,-80,-10,4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.15,-8.482086,51.900862,0,B,13,5G,-80,-11,2.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.17,-8.482086,51.900862,0,B,13,5G,-80,-11,2.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.18,-8.482086,51.900862,0,B,13,5G,-80,-11,1.0,10,-71,0,1,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.19,-8.482086,51.900862,0,B,13,5G,-80,-11,1.0,10,-71,1,0,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.20,-8.482086,51.900862,0,B,13,5G,-80,-10,-1.0,10,-71,33893,136,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.21,-8.482086,51.900862,0,B,13,5G,-80,-10,-1.0,10,-71,0,0,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.22,-8.482086,51.900862,0,B,13,5G,-81,-9,1.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-10.0
2019.12.03_09.25.23,-8.482086,51.900862,0,B,13,5G,-81,-9,1.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-10.0
2019.12.03_09.25.24,-8.482086,51.900862,0,B,13,5G,-80,-10,-4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-11.0
2019.12.03_09.25.25,-8.482086,51.900862,0,B,13,5G,-80,-10,-4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-11.0
2019.12.03_09.25.26,-8.482086,51.900862,0,B,13,5G,-80,-9,2.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.27,-8.482086,51.900862,0,B,13,5G,-80,-9,2.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.28,-8.482086,51.900862,0,B,13,5G,-80,-9,1.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.29,-8.482086,51.900862,0,B,13,5G,-80,-9,1.0,10,-71,2,4,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.31,-8.482086,51.900862,0,B,13,5G,-80,-9,3.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.32,-8.482086,51.900862,0,B,13,5G,-80,-9,3.0,10,-71,2,4,D,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.33,-8.482086,51.900862,0,B,13,5G,-80,-10,4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.34,-8.482086,51.900862,0,B,13,5G,-80,-10,4.0,10,-71,2,4,D,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.35,-8.482086,51.900862,0,B,13,5G,-80,-9,4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.36,-8.482086,51.900862,0,B,13,5G,-80,-9,4.0,10,-71,15,26,D,,,,,,D,A992,9CBA,11112973,-80.0,-12.0
2019.12.03_09.25.37,-8.482086,51.900862,0,B,13,5G,-80,-10,-2.0,10,-71,0,0,D,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.38,-8.482086,51.900862,0,B,13,5G,-80,-10,-2.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.39,-8.482086,51.900862,0,B,13,5G,-80,-10,0.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.40,-8.482086,51.900862,0,B,13,5G,-80,-10,0.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-10.0
2019.12.03_09.25.41,-8.482086,51.900862,0,B,13,5G,-79,-12,-4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.42,-8.482086,51.900862,0,B,13,5G,-79,-12,-4.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-11.0
2019.12.03_09.25.43,-8.482086,51.900862,0,B,13,5G,-79,-12,-3.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.45,-8.482086,51.900862,0,B,13,5G,-79,-12,-3.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.46,-8.482086,51.900862,0,B,13,5G,-79,-11,1.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.47,-8.482086,51.900862,0,B,13,5G,-79,-11,1.0,10,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-80.0,-13.0
2019.12.03_09.25.48,-8.482086,51.900862,0,B,13,5G,-79,-10,0.0,13,-62,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-13.0
2019.12.03_09.25.49,-8.482086,51.900862,0,B,13,5G,-79,-10,0.0,13,-72,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-13.0
2019.12.03_09.25.50,-8.482086,51.900862,0,B,13,5G,-80,-9,3.0,13,-72,2,4,D,,,,,,D,A992,9CBA,11112973,-80.0,-14.0
