,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1629,2019.12.16_13.33.08,-8.394601,51.886139,5G,-102,-10,-4.0,13,-,0,0,I
1630,2019.12.16_13.33.09,-8.394601,51.886139,5G,-102,-10,-4.0,13,-,0,0,I
1631,2019.12.16_13.33.10,-8.394601,51.886139,5G,-101,-12,-2.0,13,-,0,0,I
1632,2019.12.16_13.33.11,-8.394601,51.886139,5G,-101,-12,-2.0,13,-,0,0,I
1633,2019.12.16_13.33.13,-8.394601,51.886139,5G,-101,-14,-3.0,13,-,0,0,I
1634,2019.12.16_13.33.14,-8.394601,51.886139,5G,-101,-14,-3.0,13,-,0,0,I
1635,2019.12.16_13.33.15,-8.394601,51.886139,5G,-101,-12,-2.0,13,-,0,0,I
1636,2019.12.16_13.33.16,-8.394601,51.886139,5G,-101,-12,-2.0,13,-,0,0,I
1637,2019.12.16_13.33.17,-8.394601,51.886139,5G,-101,-9,0.0,13,-,0,0,I
1638,2019.12.16_13.33.18,-8.394601,51.886139,5G,-101,-9,0.0,14,-84,0,0,I
1639,2019.12.16_13.33.19,-8.394601,51.886139,5G,-100,-10,2.0,14,-84,0,0,I
1640,2019.12.16_13.33.20,-8.394601,51.886139,5G,-100,-10,2.0,10,-,0,0,I
1641,2019.12.16_13.33.21,-8.394601,51.886139,5G,-101,-11,3.0,12,-87,0,0,I
1642,2019.12.16_13.33.22,-8.394601,51.886139,5G,-101,-11,3.0,12,-87,0,0,I
1643,2019.12.16_13.33.23,-8.394601,51.886139,5G,-100,-11,0.0,12,-87,0,0,I
1644,2019.12.16_13.33.24,-8.394601,51.886139,5G,-100,-11,0.0,12,-87,2,4,D
1645,2019.12.16_13.33.25,-8.394601,51.886139,5G,-101,-9,-1.0,12,-87,5123,36,D
1646,2019.12.16_13.33.27,-8.394601,51.886139,5G,-101,-9,-1.0,10,-85,25113,129,D
1647,2019.12.16_13.33.28,-8.394601,51.886139,5G,-101,-9,-4.0,10,-85,2,4,D
1648,2019.12.16_13.33.29,-8.394601,51.886139,5G,-101,-9,-4.0,10,-85,0,0,D
1649,2019.12.16_13.33.30,-8.394601,51.886139,5G,-101,-9,-1.0,10,-87,0,0,I
1650,2019.12.16_13.33.31,-8.394601,51.886139,5G,-101,-9,-1.0,10,-87,0,0,I
1651,2019.12.16_13.33.32,-8.394601,51.886139,5G,-101,-11,-1.0,10,-87,0,0,I
1652,2019.12.16_13.33.33,-8.394601,51.886139,5G,-101,-11,-1.0,10,-87,0,0,I
1653,2019.12.16_13.33.34,-8.394601,51.886139,5G,-100,-12,-3.0,10,-87,0,0,I
1654,2019.12.16_13.33.35,-8.394601,51.886139,5G,-100,-12,-3.0,10,-87,0,0,I
